CPF;MATRICULA;DATA_VENDA;NUMERO;IMPOSTO
7771579779;235;2015-01-01;100;0.1
50534475787;237;2015-01-01;101;0.12
8502682733;236;2015-01-01;102;0.12
5840119709;235;2015-01-01;103;0.12
1471156710;235;2015-01-01;104;0.12
94387575700;236;2015-01-01;105;0.1
3623344710;237;2015-01-01;106;0.1
5576228758;236;2015-01-01;107;0.1
19290992743;237;2015-01-01;108;0.12
94387575700;236;2015-01-01;109;0.12
5840119709;235;2015-01-01;110;0.12
492472718;237;2015-01-01;111;0.1
5840119709;236;2015-01-01;112;0.12
50534475787;235;2015-01-01;113;0.1
94387575700;235;2015-01-01;114;0.1
94387575700;236;2015-01-01;115;0.12
50534475787;235;2015-01-01;116;0.1
8719655770;236;2015-01-01;117;0.12
2600586709;235;2015-01-01;118;0.12
3623344710;236;2015-01-01;119;0.1
3623344710;235;2015-01-01;120;0.1
3623344710;235;2015-01-01;121;0.12
5648641702;237;2015-01-01;122;0.1
50534475787;237;2015-01-01;123;0.12
94387575700;235;2015-01-01;124;0.12
5840119709;237;2015-01-01;125;0.12
7771579779;237;2015-01-01;126;0.12
8502682733;236;2015-01-01;127;0.12
5648641702;237;2015-01-01;128;0.12
5840119709;237;2015-01-01;129;0.12
5576228758;236;2015-01-01;130;0.12
5840119709;236;2015-01-01;131;0.12
5576228758;236;2015-01-01;132;0.1
5576228758;235;2015-01-01;133;0.12
1471156710;235;2015-01-01;134;0.12
5648641702;235;2015-01-01;135;0.12
50534475787;236;2015-01-01;136;0.1
19290992743;237;2015-01-01;137;0.12
5648641702;235;2015-01-01;138;0.1
50534475787;236;2015-01-01;139;0.1
2600586709;237;2015-01-01;140;0.12
8502682733;237;2015-01-01;141;0.1
3623344710;236;2015-01-01;142;0.1
8719655770;236;2015-01-01;143;0.12
50534475787;236;2015-01-01;144;0.12
19290992743;235;2015-01-01;145;0.1
5648641702;236;2015-01-01;146;0.12
492472718;236;2015-01-01;147;0.12
492472718;236;2015-01-01;148;0.1
94387575700;235;2015-01-01;149;0.12
9283760794;236;2015-01-01;150;0.12
8719655770;235;2015-01-01;151;0.1
19290992743;237;2015-01-01;152;0.1
5576228758;237;2015-01-01;153;0.12
50534475787;237;2015-01-01;154;0.1
8502682733;237;2015-01-01;155;0.1
2600586709;237;2015-01-01;156;0.1
94387575700;235;2015-01-01;157;0.1
5840119709;236;2015-01-01;158;0.1
7771579779;237;2015-01-01;159;0.12
2600586709;236;2015-01-01;160;0.1
5576228758;235;2015-01-01;161;0.1
5840119709;235;2015-01-01;162;0.12
7771579779;235;2015-01-01;163;0.1
8502682733;235;2015-01-01;164;0.1
1471156710;235;2015-01-01;165;0.1
8502682733;237;2015-01-01;166;0.1
5576228758;235;2015-01-01;167;0.1
5576228758;235;2015-01-01;168;0.1
5840119709;237;2015-01-01;169;0.12
5840119709;237;2015-01-01;170;0.12
